#node1	node2
RPS16	DOCK4
SERPINB6	SLC2A3
SERPINB6	STOM
SERPINB6	RAP2B
SERPINB6	PLAU
SERPINB6	ITGAM
VTN	ITGA3
VTN	ITGB8
VTN	ITGA5
VTN	PLAU
VTN	VEGFA
PAWR	NFKBIA
SFRP4	WNT6
DSP	TGM1
DSP	PKP3
VAT1	CPPED1
UBA1	SMURF2
UBA1	ZBTB16
UBA1	PLAU
UBA1	NEDD4L
UBA1	NEDD4
UBA1	LMO7
ADAM12	EGF
ADAM12	DLL1
ELAVL1	VEGFA
F5	TGFB3
F5	EGF
F5	F3
F5	AREG
F5	CST3
F5	VEGFA
DKK3	DKK1
DYNLRB1	TGFB3
DYNLRB1	SMURF2
DYNLRB1	TGFBR2
IMPA1	CDIPT
COL2A1	ITGA10
DNAJC3	HSPA1A
DNAJC3	CPPED1
DNAJC3	CST3
ATP6AP1	INSR
MCAM	NT5E
CTSZ	AREG
SPARCL1	CST3
ADAM15	CDH1
PSMA3	NFKBIA
PSMA3	SMURF2
PSMA3	AJUBA
PSMA3	LIMD1
PSMA3	TNFRSF12A
HBB	CST3
HBB	DBNL
LAMA2	ITGA3
LAMA2	ITGB4
LAMA2	ITGA5
LAMA2	NTN4
LAMA2	DMD
GSR	GGT5
PSME2	NFKBIA
PSME2	SMURF2
PSME2	AJUBA
PSME2	LIMD1
PSME2	TNFRSF12A
UBE2K	SMURF2
UBE2K	ZBTB16
UBE2K	NEDD4L
UBE2K	NEDD4
UBE2K	LMO7
NRCAM	ANK3
NRCAM	SCN8A
NRCAM	ANK2
PICALM	HIP1R
PICALM	SORT1
PICALM	EGF
PICALM	FNBP1L
PICALM	DAB2
PICALM	SYNJ2
PICALM	AMPH
PICALM	DNM3
PICALM	ITSN1
PICALM	CPPED1
PICALM	AGTR1
AFP	KRT19
AFP	CST3
LAMP2	STOM
LAMP2	FPR1
PSMB3	NFKBIA
PSMB3	SMURF2
PSMB3	AJUBA
PSMB3	LIMD1
PSMB3	TNFRSF12A
CNDP2	GLUL
CNDP2	GGT5
RPS3	DOCK4
PSMC2	NFKBIA
PSMC2	SMURF2
PSMC2	AJUBA
PSMC2	LIMD1
PSMC2	TNFRSF12A
HSPA4	HSPB1
HSPA4	HSPA1A
NAMPT	NT5E
UCHL3	LMO7
ARPC3	HIP1R
ARPC3	EGF
ARPC3	FNBP1L
ARPC3	FCGR2A
ARPC3	DAB2
ARPC3	BAIAP2
ARPC3	SYNJ2
ARPC3	AMPH
ARPC3	DNM3
ARPC3	ITSN1
ARPC3	AGTR1
SCP2	CAV1
SCP2	STX7
ARPC4	HIP1R
ARPC4	EGF
ARPC4	FNBP1L
ARPC4	FCGR2A
ARPC4	DAB2
ARPC4	BAIAP2
ARPC4	SYNJ2
ARPC4	AMPH
ARPC4	DNM3
ARPC4	ITSN1
ARPC4	AGTR1
AXL	TENC1
AXL	JAK2
AXL	PIK3R1
RPS10	DOCK4
MAPRE1	AJUBA
MAPRE1	RCC2
CCT2	SPHK1
CCT2	CPPED1
USO1	ANK3
USO1	ANK2
USO1	AREG
ITIH2	CST3
FASN	ACSL1
MINPP1	SYNJ2
CPM	CNTN3
CPM	CD109
CPM	NTM
IGF2	TGFB3
IGF2	CDH1
IGF2	EGF
IGF2	IGF1R
IGF2	INSR
IGF2	IRS2
IGF2	VEGFA
KRT80	KRT19
FGF7	EGF
FGF7	FGFR2
FGF7	PIK3R1
ANGPT1	RASA1
ANGPT1	ITGA5
ANGPT1	ANGPT2
ANGPT1	TEK
ANGPT1	PIK3R1
ANGPT1	VEGFA
FUCA2	CPPED1
