#node1	node2
EGF	CD63
EGF	CPM
EGF	B2M
EGF	LDLR
EGF	ACTG1
EGF	SPON1
EGF	CLTC
EGF	VEGFC
EGF	AP2B1
PHLDB2	CLASP1
PHLDB2	FLNC
PHLDB2	FLNA
PHLDB2	PLCXD2
DNM3	VAMP3
DNM3	FIS1
DNM3	ARPC3
DNM3	APOB
DNM3	CLTA
DNM3	ARPC1A
DNM3	ACTR3
DNM3	AP2S1
DNM3	LRP2
DNM3	RAB7A
DNM3	RAB5A
DNM3	LY96
DNM3	AP2M1
DNM3	ARPC5
DNM3	ARPC2
DNM3	CD14
DNM3	CLTB
DNM3	RAB6A
DNM3	DNMBP
DNM3	SNX18
DNM3	AP1S1
DNM3	HIP1
DNM3	NME1
DNM3	PLS3
DNM3	IGF2R
DNM3	AP1B1
DNM3	AP2A1
DNM3	RPE
DNM3	TFRC
DNM3	STX12
DNM3	CTTN
DNM3	STAM
DNM3	ACTR2
DNM3	GRB2
DNM3	PICALM
DNM3	AP1G1
DNM3	NSF
DNM3	CDC42
DNM3	TF
DNM3	AGFG1
DNM3	ARPC4
DNM3	AP1M1
DNM3	NECAP2
DNM3	EPS15L1
DNM3	EPN1
DNM3	FNBP1
DNM3	HSPA8
DNM3	CLTCL1
DNM3	UBC
DNM3	AP1S2
DNM3	SOD2
DNM3	RAB5C
DNM3	LDLR
DNM3	CLTC
DNM3	AP2B1
CISH	RBX1
CISH	GAPDH
CISH	SKP1
CISH	NEDD8
CISH	UBE2M
CISH	EP300
CISH	COPS4
CISH	COPS3
CISH	ATP6V1A
CISH	PTS
CISH	DCUN1D1
CISH	RNPEP
CISH	COPS2
CISH	AXL
CISH	PRL
CISH	IGF1
CISH	COPS6
CISH	LEP
CISH	PTPN11
CISH	COPS8
CISH	COPS5
CISH	NAE1
CISH	STAT1
CISH	IL6R
CISH	STAM
CISH	GPS1
CISH	IL6
CISH	TBC1D10B
CISH	JAK3
CISH	COMMD2
CISH	COPS7A
CISH	UBC
CISH	CAND1
SYNJ2	VAMP3
SYNJ2	ARPC3
SYNJ2	APOB
SYNJ2	CLTA
SYNJ2	ARPC1A
SYNJ2	ACTR3
SYNJ2	AP2S1
SYNJ2	LRP2
SYNJ2	RAB5A
SYNJ2	AP2M1
SYNJ2	ARPC5
SYNJ2	ARPC2
SYNJ2	CLTB
SYNJ2	SNX18
SYNJ2	HIP1
SYNJ2	RAC1
SYNJ2	IGF2R
SYNJ2	AP2A1
SYNJ2	TFRC
SYNJ2	MINPP1
SYNJ2	CTTN
SYNJ2	STAM
SYNJ2	ACTR2
SYNJ2	INPP1
SYNJ2	GRB2
SYNJ2	PICALM
SYNJ2	AP1G1
SYNJ2	FKBP2
SYNJ2	AIMP1
SYNJ2	PPP3CA
SYNJ2	PPP3CC
SYNJ2	TF
SYNJ2	AGFG1
SYNJ2	ARPC4
SYNJ2	AP1M1
SYNJ2	ARPC1B
SYNJ2	NECAP2
SYNJ2	EPS15L1
SYNJ2	EPN1
SYNJ2	IMPA1
SYNJ2	PDCD6IP
SYNJ2	FNBP1
SYNJ2	DBNL
SYNJ2	HSPA8
SYNJ2	CLTCL1
SYNJ2	UBC
SYNJ2	RAB5C
SYNJ2	LDLR
SYNJ2	CLTC
SYNJ2	AP2B1
SYNJ2	NEB
SLITRK6	SPOCK1
SLITRK6	SPTBN2
LRRTM2	GPC1
LRRTM2	CTNNA1
LRRTM2	NXN
LRRTM2	NLGN4X
CASP1	MAPK1
CASP1	HMOX1
CASP1	DHX33
CASP1	GAPDH
CASP1	MAPK14
CASP1	CAT
CASP1	SRGN
CASP1	PYCARD
CASP1	SOD1
CASP1	CAPN9
CASP1	LY96
CASP1	NLRP8
CASP1	VCAM1
CASP1	FSTL1
CASP1	ALB
CASP1	ANXA5
CASP1	CYCS
CASP1	CASP3
CASP1	LEP
CASP1	CSF1
CASP1	CTSB
CASP1	FAS
CASP1	PTBP1
CASP1	NLRC3
CASP1	STAT1
CASP1	PARP1
CASP1	LMNA
CASP1	TXN
CASP1	IL6
CASP1	CASP14
CASP1	DIABLO
CASP1	RHOA
CASP1	EIF4G1
CASP1	CAPN1
CASP1	EIF4G2
CASP1	B2M
CASP1	SERPINB6
TGFB3	DCN
TGFB3	TGFBR3
TGFB3	TIMP1
TGFB3	MMP2
TGFB3	TGFB1
TGFB3	COMP
TGFB3	SERPINE1
TGFB3	COL1A1
TGFB3	GAPDH
TGFB3	SPARC
TGFB3	INHBA
TGFB3	SRGN
TGFB3	ISLR
TGFB3	ACTN4
TGFB3	MMP13
TGFB3	THBS1
TGFB3	ITGAV
TGFB3	PDGFRB
TGFB3	LTBP2
TGFB3	A1BG
TGFB3	GPC1
TGFB3	KNG1
TGFB3	LUM
TGFB3	FGF7
TGFB3	SERPING1
TGFB3	OLA1
TGFB3	APP
TGFB3	INHBB
TGFB3	ALB
TGFB3	COL1A2
TGFB3	LTBP3
TGFB3	IGF1
TGFB3	COL3A1
TGFB3	VASN
TGFB3	PLG
TGFB3	EFEMP2
TGFB3	CLU
TGFB3	SERPINF2
TGFB3	A2M
TGFB3	FBN1
TGFB3	PPP1CA
TGFB3	BGN
TGFB3	NOG
TGFB3	GAS6
TGFB3	CFD
TGFB3	CAV1
TGFB3	CTNNB1
TGFB3	FN1
TGFB3	FMOD
TGFB3	SPTBN1
TGFB3	DYNLRB1
TGFB3	ELN
TGFB3	RYR2
TGFB3	TGFB2
TGFB3	QSOX1
TGFB3	SERPINC1
TGFB3	F5
TGFB3	DPT
TGFB3	LMNA
TGFB3	ENG
TGFB3	DSP
TGFB3	COL2A1
TGFB3	JUP
TGFB3	PROS1
TGFB3	ACTN1
TGFB3	ALDOA
TGFB3	ITGB1
TGFB3	MYH11
TGFB3	FKBP1A
TGFB3	IL6
TGFB3	LTBP1
TGFB3	ACAN
TGFB3	IGF2
TGFB3	STRAP
TGFB3	AHSG
TGFB3	ACTA2
TGFB3	PDGFC
TGFB3	VIM
TGFB3	VEGFC
MALL	TPD52L2
MALL	C3
MALL	CAV1
MALL	CD59
