#node1	node2
GAS6	PMP22
FBLN1	HBEGF
FBLN1	KRT19
PCOLCE	EGF
QSOX1	TGFB3
QSOX1	EGF
QSOX1	CST3
QSOX1	DBNL
QSOX1	VEGFA
LDHB	SLC2A3
LDHB	ADH1A
LDHB	ADH1B
LDHB	PIK3C2B
LDHB	GGT5
LDHB	ADH1C
LDHB	SLC2A14
YWHAZ	ITGA3
YWHAZ	ITGB4
YWHAZ	HSPB1
YWHAZ	SLC9A1
YWHAZ	IGF1R
YWHAZ	ITGA5
YWHAZ	RRAD
YWHAZ	PRKCE
YWHAZ	RIN1
YWHAZ	BAIAP2
YWHAZ	KRT19
YWHAZ	RGS3
YWHAZ	HSPA1A
YWHAZ	IRS2
YWHAZ	PIK3CD
YWHAZ	JAK2
YWHAZ	PPP1CB
YWHAZ	FGFR2
YWHAZ	PIK3R1
COL6A2	ITGA3
COL6A2	ITGB4
COL6A2	ITGB8
COL6A2	ITGB7
COL6A2	ITGA5
COL6A2	DMD
COL6A2	ITGA10
EFEMP1	CDH1
EFEMP1	PLEKHA1
EFEMP1	BEST1
GSTP1	ADH1A
GSTP1	CDH1
GSTP1	ADH1B
GSTP1	ABCC2
GSTP1	AR
GSTP1	GGT5
GSTP1	ESR1
GSTP1	ADH1C
GSTP1	ABCB1
PPIB	AGTRAP
PPIB	JAK2
C1R	EGF
MYH9	EXOC6
MYH9	FCGR2A
MYH9	MYLK
MYH9	DMD
MYH9	HSPA1A
MYH9	SYNPO
MYH9	PPP1CB
FBN1	TGFB3
FBN1	CDH11
FBN1	ITGA5
FBN1	SMAD3
FBN1	TGFBR2
FBN1	MYLK
FBN1	ADAM12
FBN1	CST3
FBN1	AGTR1
FBN1	GREM1
HSPA8	TNS1
HSPA8	HSPB1
HSPA8	HIP1R
HSPA8	SORT1
HSPA8	EGF
HSPA8	FNBP1L
HSPA8	PLIN2
HSPA8	EPS8
HSPA8	DAB2
HSPA8	SMAD3
HSPA8	SYNJ2
HSPA8	AMPH
HSPA8	DNM3
HSPA8	TLR4
HSPA8	AR
HSPA8	HSPA1A
HSPA8	ITSN1
HSPA8	JAK2
HSPA8	ESR1
HSPA8	AGTR1
HSPA8	CRYAB
HSPA8	ABCB1
SERPINH1	HSPB1
SERPINH1	HSPA1A
SERPINH1	VEGFA
TF	HIP1R
TF	EGF
TF	FNBP1L
TF	DAB2
TF	SYNJ2
TF	AMPH
TF	DNM3
TF	ITSN1
TF	CST3
TF	AGTR1
HP	MSR1
HP	F3
HP	TLR4
HP	CST3
HP	DBNL
HP	ITGAM
HP	VEGFA
TPM4	PPFIBP1
TPM4	MYLK
TPM4	DMD
TPM4	CRYAB
TPM4	MYO18A
TPM4	ATP1A1
HSPA5	NFKBIA
HSPA5	HSPB1
HSPA5	CDH1
HSPA5	IGF1R
HSPA5	CAV1
HSPA5	PLAU
HSPA5	TLR4
HSPA5	AR
HSPA5	HSPA1A
HSPA5	ESR1
HSPA5	CRYAB
HSPA5	ABCB1
HSPA5	VEGFA
YWHAQ	ITGA3
YWHAQ	ITGB4
YWHAQ	HSPB1
YWHAQ	ITGA5
YWHAQ	PRKCE
YWHAQ	PPP1CB
YWHAQ	NEDD4L
YWHAQ	CDK5
HTRA1	PLEKHA1
HTRA1	CRYAB
LAMC1	ITGA3
LAMC1	ITGB4
LAMC1	ITGB8
LAMC1	EGF
LAMC1	ITGB7
LAMC1	ITGA5
LAMC1	NTN4
LAMC1	DMD
LAMC1	ITGA10
LAMC1	FAT4
LAMC1	CST3
PGK1	SLC2A3
PGK1	ADH1A
PGK1	GLUL
PGK1	RAPH1
PGK1	PHKA1
PGK1	HSPA1A
PGK1	SLC2A14
PGK1	VEGFA
POSTN	CDH1
POSTN	EGF
POSTN	CDH11
POSTN	NOTCH1
POSTN	VCAM1
POSTN	ANPEP
POSTN	ADAM12
POSTN	VEGFA
ANXA2	HSPB1
ANXA2	CDH1
ANXA2	EGF
ANXA2	F3
ANXA2	CAV1
ANXA2	CAV3
ANXA2	MYOF
ANXA2	KRT19
ANXA2	PLAU
ANXA2	TLR4
ANXA2	AHNAK
ANXA2	PODXL
ANXA2	CPPED1
ANXA2	SLC9A3R2
ANXA2	ABCB1
ANXA2	VEGFA
COL8A1	MYOF
HAPLN1	SLC7A2
CCDC80	SRPX
PRDX6	HSPB1
PRDX6	LIFR
PRDX6	GLUL
PRDX6	IL6ST
PRDX6	CPPED1
PRDX6	RDX
ALDOC	HSPA1A
ALDOC	CST3
ALDOC	DBNL
MDH2	ADH1A
MDH2	CDIPT
MDH2	ADH1B
MDH2	GLUL
MDH2	ADH1C
VCAN	EGF
VCAN	CDH11
VCAN	CST3
VCAN	VEGFA
MSN	HSPB1
MSN	NOTCH2
MSN	CDH1
MSN	SLC9A1
MSN	EGF
MSN	NOTCH1
MSN	TJP1
MSN	VCAM1
MSN	AMPH
MSN	MYLK
MSN	TLR4
MSN	DLG2
MSN	PODXL
MSN	PPP1CB
MSN	RDX
MSN	PDZK1
MSN	SLC9A3R2
YWHAB	ITGB4
YWHAB	RAP2A
YWHAB	HSPB1
YWHAB	SLC9A1
YWHAB	IGF1R
YWHAB	INSR
YWHAB	PRKCE
YWHAB	RIN1
YWHAB	AGTRAP
YWHAB	IRS2
YWHAB	JAK2
YWHAB	PPP1CB
YWHAB	NEDD4L
YWHAB	ATP2B1
LGALS1	EMP3
LGALS1	SH2B3
LGALS1	CST3
OLFML3	FLRT3
APOE	SORT1
APOE	MSR1
APOE	NOX4
APOE	EGF
APOE	PLIN2
APOE	NOTCH1
APOE	CSF1R
APOE	VCAM1
APOE	TLR3
APOE	F3
APOE	CAV1
APOE	TLR4
APOE	CST3
APOE	ESR1
APOE	AGTR1
APOE	CDK5
APOE	ITGAM
APOE	MARCKS
APOE	VEGFA
TLN1	ITGA3
TLN1	TNS1
TLN1	ITGB4
TLN1	TGM1
TLN1	ITGB8
TLN1	CDH1
TLN1	EGF
TLN1	NRP1
TLN1	ITGB7
TLN1	ITGA5
TLN1	VCAM1
TLN1	RAPH1
TLN1	AGTRAP
TLN1	TENC1
TLN1	CTNNAL1
TLN1	RASGRP2
TLN1	MYLK
TLN1	DMD
TLN1	PLXNA2
TLN1	ITGA10
TLN1	SRPX
TLN1	PLXNA1
TLN1	CDK5
TLN1	PIK3R1
TLN1	MYO18A
TLN1	ITGAM
PPIA	SAMHD1
PPIA	TLR4
PPIA	JAK2
PPIA	ESR1
CALD1	ITGB4
CALD1	SLC38A2
CALD1	KIRREL
CALD1	MYLK
CALD1	ESR1
CALD1	CDK5
TAGLN2	HSPB1
TAGLN2	FCGR2A
TAGLN2	SLAMF8
TAGLN2	RDX
TAGLN2	CRYAB
DPYSL2	SEMA7A
DPYSL2	NRP1
DPYSL2	MICAL1
DPYSL2	PLXNA2
DPYSL2	PLXNA1
DPYSL2	GAP43
DPYSL2	CDK5
GSN	SORT1
GSN	CDH1
GSN	EMP3
GSN	EPS8
GSN	TJP1
GSN	VCAM1
GSN	NEXN
GSN	PMEPA1
GSN	RHOU
GSN	PLAU
GSN	AR
GSN	CST3
GSN	RDX
GSN	DBNL
GSN	PIK3R1
CFL1	TNS1
CFL1	CAP2
CFL1	HSPB1
CFL1	HIP1R
CFL1	CDH1
CFL1	EGF
CFL1	TJP1
CFL1	TIAM1
CFL1	BAIAP2
CFL1	RHOJ
CFL1	FMN2
CFL1	PRKD1
CFL1	NEXN
CFL1	MYLK
CFL1	RHOU
CFL1	SYNPO
CFL1	RDX
CFL1	DBNL
CFL1	CDK5
CFL1	MYO18A
CFL1	ATP1A1
CD109	CNTN3
CD109	EGF
CD109	NTM
ANXA1	BDKRB1
ANXA1	HSPB1
ANXA1	EGF
ANXA1	PTGER1
ANXA1	S1PR1
ANXA1	GRM5
ANXA1	ADRA1B
ANXA1	P2RY2
ANXA1	ADCY4
ANXA1	F2R
ANXA1	HTR1F
ANXA1	TAS1R1
ANXA1	NPY2R
ANXA1	CAV1
ANXA1	CAV3
ANXA1	SSTR2
ANXA1	MYOF
ANXA1	ADORA1
ANXA1	GNAI3
ANXA1	LPAR1
ANXA1	HSPA1A
ANXA1	S1PR3
ANXA1	AHNAK
ANXA1	HRH1
ANXA1	AGTR1
ANXA1	PIK3R1
ANXA1	GPR68
ANXA1	BDKRB2
ANXA1	FPR1
ANXA1	P2RY6
HSP90B1	HSPB1
HSP90B1	MSR1
HSP90B1	TLR3
HSP90B1	CAV1
HSP90B1	CAV3
HSP90B1	TLR4
HSP90B1	AR
HSP90B1	HSPA1A
HSP90B1	CST3
HSP90B1	VEGFA
HSP90AA1	TNS1
HSP90AA1	TNFRSF10A
HSP90AA1	HBEGF
HSP90AA1	HSPB1
HSP90AA1	CDH1
HSP90AA1	AJUBA
HSP90AA1	EGF
HSP90AA1	NRP1
HSP90AA1	IGF1R
HSP90AA1	NOTCH1
HSP90AA1	TJP1
HSP90AA1	TLR3
HSP90AA1	PRKCE
HSP90AA1	BAIAP2
HSP90AA1	CAV1
HSP90AA1	CAV3
HSP90AA1	EPHA2
HSP90AA1	TGFBR2
HSP90AA1	PLXNA2
HSP90AA1	IRAK1
HSP90AA1	TLR4
HSP90AA1	AR
HSP90AA1	HSPA1A
HSP90AA1	IRS2
HSP90AA1	SHB
HSP90AA1	JAK2
HSP90AA1	ACVRL1
HSP90AA1	PLXNA1
HSP90AA1	PPP1CB
HSP90AA1	ESR1
HSP90AA1	CDK5
HSP90AA1	PIK3R1
HSP90AA1	CRYAB
HSP90AA1	MARCKS
HSP90AA1	ABCB1
